galaxy,galaxy_raw_chae2020,x0_chae2020,x0_missing_flag,eenv,eenv_err_lo,eenv_err_hi
NGC4138,NGC 4138,-10.02,0,0.041,0.009,0.012
NGC4157,NGC 4157,-10.51,0,0.039,0.007,0.008
NGC4183,NGC 4183,-10.877,0,0.025,0.004,0.005
NGC4217,NGC 4217,-10.173,0,0.027,0.005,0.006
NGC4559,NGC 4559,-10.832,0,0.031,0.005,0.006
NGC5005,NGC 5005,-9.452,0,0.028,0.004,0.005
NGC5033,NGC 5033,-10.737,0,0.026,0.004,0.005
NGC5055,NGC 5055,-10.536,0,0.028,0.005,0.006
NGC5371,NGC 5371,-9.751,0,0.03,0.003,0.004
NGC5585,NGC 5585,-10.826,0,0.024,0.004,0.005
NGC5907,NGC 5907,-10.578,0,0.032,0.006,0.007
NGC5985,NGC 5985,-10.293,0,0.03,0.003,0.004
NGC6015,NGC 6015,-10.153,0,0.032,0.006,0.007
NGC6195,NGC 6195,-9.935,0,0.025,0.004,0.004
NGC6503,NGC 6503,-11.156,0,0.029,0.003,0.003
NGC6674,NGC 6674,-10.613,0,0.03,0.005,0.007
NGC6789,NGC 6789,-10.543,0,0.034,0.005,0.005
NGC6946,NGC 6946,-10.232,0,0.086,0.028,0.042
NGC7331,NGC 7331,-10.246,0,0.109,0.032,0.045
NGC7793,NGC 7793,-10.476,0,0.077,0.033,0.059
NGC7814,NGC 7814,-10.119,0,0.058,0.021,0.033
UGC00128,UGC 00128,-11.228,0,0.03,0.003,0.004
UGC00191,UGC 00191,-10.736,0,0.028,0.004,0.004
UGC00634,UGC 00634,-11.252,0,0.012,0.002,0.002
UGC00731,UGC 00731,-11.329,0,0.024,0.003,0.004
UGC00891,UGC 00891,-11.289,0,0.066,0.009,0.01
UGC01281,UGC 01281,-11.381,0,0.027,0.004,0.005
UGC02259,UGC 02259,-10.967,0,0.011,0.002,0.002
UGC02487,UGC 02487,-10.562,0,0.024,0.003,0.004
UGC02885,UGC 02885,-10.646,0,0.023,0.003,0.003
UGC02916,UGC 02916,-9.938,0,0.015,0.002,0.002
UGC02953,UGC 02953,-9.497,0,0.021,0.003,0.004
UGC03205,UGC 03205,-9.813,0,0.013,0.002,0.002
UGC03546,UGC 03546,-10.141,0,0.035,0.004,0.004
UGC03580,UGC 03580,-10.262,0,0.025,0.005,0.006
UGC04278,UGC 04278,-11.272,0,0.011,0.002,0.002
UGC04325,UGC 04325,-10.656,0,0.008,0.001,0.002
UGC04483,UGC 04483,-11.284,0,0.016,0.002,0.002
UGC04499,UGC 04499,-11.102,0,0.015,0.002,0.002
UGC05005,UGC 05005,-11.701,0,0.032,0.002,0.003
UGC05253,UGC 05253,-9.707,0,0.026,0.003,0.003
UGC05414,UGC 05414,-11.019,0,0.019,0.002,0.003
UGC05716,UGC 05716,-11.44,0,0.02,0.004,0.005
UGC05721,UGC 05721,-10.917,0,0.021,0.003,0.003
UGC05750,UGC 05750,-11.469,0,0.048,0.008,0.01
UGC05764,UGC 05764,-11.191,0,0.046,0.025,0.053
UGC05829,UGC 05829,-11.263,0,0.743,0.166,0.214
UGC05918,UGC 05918,-11.581,0,0.02,0.002,0.003
UGC05986,UGC 05986,-10.836,0,0.033,0.007,0.009
UGC06399,UGC 06399,-11.019,0,0.009,0.001,0.002
UGC06446,UGC 06446,-11.165,0,0.019,0.002,0.003
UGC06614,UGC 06614,-10.336,0,0.026,0.003,0.004
UGC06667,UGC 06667,-11.287,0,0.027,0.004,0.005
UGC06786,UGC 06786,-10.094,0,0.027,0.004,0.005
UGC06787,UGC 06787,-10.632,0,0.028,0.004,0.005
UGC06818,UGC 06818,-11.263,0,0.031,0.004,0.004
UGC06917,UGC 06917,-10.831,0,0.007,0.001,0.002
UGC06923,UGC 06923,-10.79,0,0.022,0.003,0.003
UGC06930,UGC 06930,-11.033,0,0.034,0.005,0.005
