galaxy,Q,T,D_mpc,e_D_mpc,distance_frac_error,Inc_deg,e_Inc_deg,SBeff_Lsun_pc2,Rdisk_kpc,Vflat_kms,Vmax_kms,n_points,mean_frac_v_error,median_frac_v_error,L36_1e9Lsun,Lbul_1e9Lsun,Mstar_1e9Msun,Mgas_1e9Msun,Mbar_1e9Msun,gas_fraction,mean_residual_dex,median_residual_dex,std_residual_dex,eenv,eenv_err_lo,eenv_err_hi,x0_chae2020,x0_missing_flag,galaxy_raw_chae2020
NGC0801,1.0,5.0,80.7,8.07,0.1,80.0,1.0,818.14,8.72,220.1,238.0,13.0,0.026847503366129864,0.026050420168067228,312.57,0.0,156.285,30.85733,187.14233,0.1648869606357899,-0.08215564327529716,-0.11234523793222273,0.10978245184331088,0.035,0.008,0.01,-10.204,0,NGC 0801
NGC0891,1.0,3.0,9.91,0.5,0.050454086781029264,90.0,1.0,1617.45,2.55,216.1,234.0,18.0,0.020752319649189152,0.01611587389380531,138.34,18.8773,72.94546,5.93446,78.87992,0.07523410267150372,-0.08315626405330828,-0.058342241690879426,0.07175486974185205,0.027,0.003,0.003,-10.025,0,NGC 0891
NGC1003,1.0,6.0,11.4,3.42,0.3,67.0,5.0,140.87,1.61,109.8,115.0,36.0,0.032181329352549956,0.02577394620305068,6.82,0.0,3.41,7.8204,11.2304,0.6963598803248326,-0.0552617461431772,-0.05152881687226962,0.06068902079839121,0.017,0.003,0.003,-11.25,0,NGC 1003
NGC1090,1.0,4.0,37.0,9.25,0.25,64.0,3.0,283.68,3.53,164.4,176.0,24.0,0.04942847096010331,0.024287969515514426,72.045,0.0,36.0225,11.68139,47.70389,0.24487290239852558,-0.11040489831410705,-0.0968510175991284,0.1317211624465594,0.023,0.004,0.005,-10.626,0,NGC 1090
NGC2403,1.0,6.0,3.16,0.16,0.05063291139240506,63.0,3.0,341.06,1.39,131.2,136.0,73.0,0.02374882364458923,0.02015748031496063,10.041,0.0,5.0205,4.25467,9.27517,0.4587161205670624,0.035059810634153345,0.04645402916255392,0.036846680995984524,0.014,0.002,0.002,-10.435,0,NGC 2403
NGC2683,2.0,3.0,9.81,0.49,0.04994903160040774,80.0,5.0,1139.8,2.18,154.0,212.0,11.0,0.05277185600418322,0.05917159763313609,80.415,5.3862,41.28474,1.86998,43.15472,0.043331992421686436,-0.038830953503835565,-0.056356360415451334,0.06550222436759887,0.023,0.003,0.004,-10.612,0,NGC 2683
NGC2841,1.0,3.0,14.1,1.4,0.09929078014184396,76.0,10.0,983.63,3.64,284.8,323.0,50.0,0.025043353144808083,0.01968701606658924,188.121,46.0617,103.27284,13.000750000000002,116.27359,0.11181171923908088,0.17277608422337848,0.17569496475595514,0.026338004090889256,0.014,0.002,0.002,-9.797,0,NGC 2841
NGC2903,1.0,4.0,6.6,1.98,0.3,66.0,3.0,632.16,2.33,184.6,216.0,34.0,0.028731150990142926,0.01671425910981439,81.863,0.0,40.9315,3.3941600000000003,44.32566,0.07657325350598278,-0.06146640873346708,0.006912245560204866,0.21247124045828142,0.022,0.004,0.005,-10.616,0,NGC 2903
NGC2915,2.0,11.0,4.06,0.2,0.049261083743842374,56.0,4.0,347.4,0.55,83.5,86.5,30.0,0.13991828080310795,0.09578776887137462,0.641,0.0,0.3205,0.67564,0.99614,0.6782580761740318,0.15767214453217726,0.2144037790508575,0.278293739432762,0.028,0.007,0.01,-11.531,0,NGC 2915
NGC2955,1.0,3.0,97.9,9.8,0.10010214504596528,56.0,7.0,974.61,18.76,0.0,276.0,24.0,0.034294808497976025,0.033064699792960665,319.422,71.0188,173.91476,38.50217000000001,212.41693,0.1812575391236471,-0.043363664993150586,-0.046997189091444014,0.058540644172301266,0.017,0.002,0.002,-9.783,0,NGC 2955
NGC2976,2.0,5.0,3.58,0.18,0.05027932960893854,61.0,10.0,308.2,1.01,85.4,88.7,27.0,0.10994912388652836,0.06225680933852141,3.371,0.0,1.6855,0.22876,1.91426,0.1195030978028063,-0.136622827956378,-0.07628554890727912,0.16682570708344038,0.017,0.002,0.002,-10.365,0,NGC 2976
NGC2998,1.0,5.0,68.1,10.2,0.14977973568281938,58.0,2.0,479.55,6.2,209.9,214.0,13.0,0.058855841071743714,0.02358490566037736,150.902,0.0,75.451,31.18983,106.64083,0.29247549929984606,0.10803636002579377,-0.00606161468937394,0.2276750331268434,0.005,0.001,0.002,-10.488,0,NGC 2998
NGC3109,1.0,9.0,1.33,0.07,0.052631578947368425,70.0,5.0,11.4,1.56,66.2,67.3,25.0,0.07170834215166881,0.060329067641681895,0.194,0.0,0.097,0.63441,0.73141,0.8673794451812253,0.004440246657740161,0.05402546656987717,0.12172436726082961,0.021,0.004,0.006,-11.513,0,NGC 3109
NGC3198,1.0,5.0,13.8,1.4,0.10144927536231883,73.0,3.0,178.99,3.14,150.1,157.0,43.0,0.08506980117638524,0.01761194029850746,38.279,0.0,19.1395,14.455770000000001,33.59527,0.430291823819246,-0.06934093862170876,-0.02176346144408292,0.1272249335190795,0.026,0.004,0.005,-10.613,0,NGC 3198
NGC3521,1.0,4.0,7.7,2.3,0.2987012987012987,75.0,5.0,2232.7,2.4,213.7,220.0,41.0,0.06621023565054086,0.05095238095238095,84.836,0.0,42.418,5.52482,47.94282,0.1152376935691309,0.016035268528712406,0.007353545462381206,0.028043003227532816,0.025,0.004,0.004,-9.407,0,NGC 3521
NGC3726,2.0,5.0,18.0,2.5,0.1388888888888889,53.0,2.0,198.08,3.4,168.0,169.0,12.0,0.04553890288338874,0.033506140765233824,70.234,0.0,35.117,8.60909,43.72609,0.19688680144966084,-0.12887686591797362,-0.13294779065260443,0.06010436798030122,0.031,0.004,0.005,-10.485,0,NGC 3726
NGC3741,1.0,10.0,3.21,0.17,0.052959501557632405,70.0,4.0,42.94,0.2,50.1,51.6,21.0,0.07180658035532266,0.06279069767441861,0.028,0.0,0.014,0.24206,0.25606,0.9453253143794422,-0.008825909200470454,0.04058608148380749,0.0896609517498974,0.027,0.003,0.003,-11.765,0,NGC 3741
NGC3769,2.0,3.0,18.0,2.5,0.1388888888888889,70.0,2.0,626.37,3.38,118.6,126.0,12.0,0.06841426732328278,0.06131665299425759,18.679,0.0,9.3395,7.35357,16.69307,0.4405163340236398,-0.10441981710605812,-0.09981816568226787,0.04907110151656659,0.026,0.004,0.004,-10.927,0,NGC 3769
NGC3877,2.0,5.0,18.0,2.5,0.1388888888888889,76.0,1.0,598.18,2.53,168.4,171.0,13.0,0.05915704804643312,0.033529411764705884,72.535,0.0,36.2675,1.9723900000000003,38.239889999999995,0.051579384773334874,-0.10350766290171552,-0.09835816366366679,0.20523507792171536,0.026,0.006,0.008,-10.082,0,NGC 3877
NGC3893,1.0,5.0,18.0,2.5,0.1388888888888889,49.0,2.0,1573.37,2.38,174.0,194.0,10.0,0.04794921118766967,0.0422675026123302,58.525,0.0,29.2625,7.712670000000001,36.97517,0.2085905216933418,0.006436152625991731,0.016455965159551944,0.035605187019080296,0.02,0.005,0.007,-10.297,0,NGC 3893
NGC3917,1.0,6.0,18.0,2.5,0.1388888888888889,79.0,2.0,112.94,2.63,135.9,138.0,17.0,0.04508750989924706,0.03170731707317073,21.966,0.0,10.983,2.51104,13.49404,0.18608511609569853,-0.021498200694225974,-0.00012901390534025836,0.12837138061522937,0.027,0.004,0.005,-10.601,0,NGC 3917
NGC3949,2.0,4.0,18.0,2.5,0.1388888888888889,55.0,2.0,1058.84,3.59,163.0,169.0,7.0,0.06269984554548612,0.044715447154471545,38.067,0.0,19.0335,4.48343,23.516930000000002,0.19064690841874343,-0.04015535327692658,-0.0476204001441527,0.037346305230441426,0.015,0.006,0.009,-9.859,0,NGC 3949
NGC3953,1.0,4.0,18.0,2.5,0.1388888888888889,62.0,1.0,587.26,4.89,220.8,224.0,8.0,0.031429879569262964,0.027354260089686097,141.301,0.0,70.6505,3.76656,74.41705999999999,0.050614200561000404,0.004162683826222535,-0.003680583166253193,0.046910323989059324,0.025,0.005,0.006,-9.95,0,NGC 3953
NGC3972,1.0,4.0,18.0,2.5,0.1388888888888889,77.0,1.0,164.75,2.18,132.7,134.0,10.0,0.05465494825642744,0.04276119402985075,14.353,0.0,7.1765,1.61462,8.79112,0.18366488001528816,0.02063010769780398,0.05648826705869414,0.08702342565341735,0.035,0.005,0.006,-10.494,0,NGC 3972
NGC3992,1.0,4.0,23.7,2.3,0.0970464135021097,56.0,2.0,360.44,4.96,241.0,272.0,9.0,0.02551150461050898,0.024999999999999998,226.932,0.0,113.466,22.07667,135.54267,0.1628761629086988,0.05115424996693897,0.0462222897061757,0.05319511555030888,0.029,0.005,0.007,-10.447,0,NGC 3992
NGC4010,2.0,7.0,18.0,2.5,0.1388888888888889,89.0,1.0,14.75,2.81,125.8,129.0,12.0,0.06614011029907609,0.04957775919732441,17.193,0.0,8.5965,3.76656,12.36306,0.3046624379401216,-0.08357371284701258,-0.05207457312965236,0.09043947154342857,0.025,0.005,0.006,-10.623,0,NGC 4010
NGC4013,2.0,3.0,18.0,2.5,0.1388888888888889,89.0,1.0,746.16,3.53,172.9,198.0,36.0,0.032044903037434645,0.029586834733893556,79.094,15.3853,42.62406,3.9461100000000005,46.57017,0.08473471322952011,-0.05087942094016837,-0.047271151133891465,0.03957945468580921,0.027,0.004,0.005,-10.686,0,NGC 4013
NGC4051,2.0,4.0,18.0,2.5,0.1388888888888889,49.0,3.0,319.76,4.65,157.0,161.0,7.0,0.06074397159667597,0.05,95.268,0.0,47.634,3.5870100000000003,51.22101,0.07003005212119012,-0.11668918019126526,-0.10023383722147017,0.055063840143589025,0.023,0.005,0.007,-10.191,0,NGC 4051
