z,mu,sigma
0.05502000,36.83115000,0.08380000
0.05614000,36.99623000,0.10090000
0.05653000,36.96139000,0.11890000
0.05693000,37.13672000,0.10030000
0.05708000,37.07054000,0.11210000
0.05824000,37.05644000,0.08490000
0.05830000,37.05872000,0.09790000
0.05886000,37.15499000,0.12910000
0.06092000,37.20488000,0.10510000
0.06099000,37.36659000,0.07160000
0.06121000,37.37005000,0.14590000
0.06153000,37.22290000,0.10980000
0.06384000,37.19750000,0.06460000
0.06446000,37.20911000,0.09380000
0.06533000,37.14360000,0.10210000
0.06627000,37.36253000,0.10980000
0.06711000,37.52847000,0.10180000
0.06725000,37.41339000,0.11130000
0.06786000,37.54095000,0.09410000
0.06844000,37.39806000,0.09520000
0.06886000,37.60919000,0.08020000
0.06897000,37.40023000,0.08470000
0.07056000,37.36244000,0.10870000
0.07073000,37.53894000,0.06470000
0.07083000,37.60601000,0.16860000
0.07089000,37.37352000,0.17610000
0.07091000,37.34903000,0.14880000
0.07116000,37.55578000,0.08810000
0.07158000,37.45519000,0.08850000
0.07193000,37.72225000,0.10890000
0.07252000,37.86168000,0.13000000
0.07334000,37.60807000,0.17920000
0.07374000,37.36177000,0.18580000
0.07393000,37.69622000,0.08990000
0.07446000,37.47561000,0.09200000
0.07520000,37.78693000,0.07450000
0.07575000,37.66958000,0.09620000
0.07845000,37.67794000,0.11070000
0.07859000,37.95956000,0.08230000
0.07931000,37.67811000,0.09220000
0.08410000,38.06760000,0.13720000
0.08478000,37.92895000,0.11980000
0.08704000,38.06308000,0.16190000
0.09333000,38.14556000,0.09940000
0.09394000,38.19696000,0.23950000
0.10442000,38.35683000,0.12560000
0.10543000,38.31943000,0.14440000
0.10563000,38.54264000,0.08210000
0.11048000,38.25468000,0.10230000
0.11621000,41.38301000,206.31780000
0.11979000,39.18096000,194.64560000
0.13051000,38.87889000,0.10620000
0.13349000,38.98171000,0.19610000
0.13537000,38.89598000,0.15890000
0.14136000,39.34775000,0.14210000
0.14624000,39.29023000,0.13060000
0.14631000,39.46035000,0.15760000
0.14740000,39.00672000,0.13750000
0.14802000,39.16841000,0.16020000
0.14812000,39.29882000,0.08440000
0.14840000,39.93288000,192.43170000
0.14940000,39.34373000,0.09790000
0.15026000,39.18191000,0.10130000
0.15062000,39.60073000,0.24430000
0.15459000,39.23567000,0.17430000
0.16008000,39.12071000,0.18430000
0.16008000,39.39296000,0.16430000
0.16085000,39.40043000,0.10530000
0.17267000,39.59667000,0.09940000
0.17273000,39.29306000,0.08260000
0.17623000,40.67369000,121.92640000
0.17800000,41.63537000,256.20300000
0.17978000,39.69446000,0.14950000
0.18148000,39.38710000,0.09590000
0.18216000,39.81530000,0.09600000
0.18383000,39.78048000,0.09530000
0.18444000,40.03362000,0.19410000
0.18492000,39.85380000,0.10780000
0.18937000,39.97330000,0.12460000
0.19209000,40.96771000,132.59010000
0.19246000,39.86546000,0.21710000
0.19471000,39.99672000,0.08700000
0.19555000,39.74864000,0.10670000
0.19616000,39.92790000,0.13590000
0.19624000,39.94861000,0.18490000
0.19771000,39.82890000,0.10940000
0.19847000,40.74201000,192.80230000
0.19902000,40.11619000,0.19700000
0.19991000,39.82392000,0.19360000
0.20173000,39.82988000,0.10120000
0.20587000,39.94322000,0.17710000
0.20699000,39.99299000,0.15670000
0.20753000,40.16818000,0.10030000
0.20823000,39.99434000,0.10400000
0.21062000,39.95602000,0.15250000
0.21094000,39.90133000,0.12280000
0.21136000,40.13584000,0.16400000
0.21260000,40.01692000,0.19660000
0.21303000,40.10499000,0.17640000
0.21415000,41.12692000,0.89520000
0.21492000,39.79939000,0.22850000
0.21511000,40.09896000,0.09460000
0.21601000,40.25572000,0.08890000
0.21711000,40.18207000,0.17050000
0.21781000,40.26232000,0.14520000
0.21792000,40.09856000,0.09560000
0.21839000,40.05123000,0.26720000
0.21847000,40.31675000,0.16640000
0.21849000,40.17131000,0.21130000
0.21883000,40.10356000,0.11060000
0.21885000,40.06356000,0.11180000
0.21898000,40.34771000,0.17880000
0.21924000,39.95573000,0.10130000
0.21942000,39.96014000,0.19790000
0.21986000,40.04110000,0.13580000
0.22101000,40.45498000,0.17370000
0.22157000,40.28881000,0.11080000
0.22211000,40.15870000,0.20040000
0.22284000,40.09276000,0.17820000
0.22305000,40.20316000,0.21290000
0.22398000,40.17738000,0.10730000
0.22453000,40.24418000,0.12030000
0.22482000,40.26777000,0.09850000
0.22566000,40.27718000,0.19070000
