family,relation,value,target_label,target_value,error_frac,error_pct,unit_sensitive,p_any_same_family,p_any_global
ratio_mass,m_mu/m_d,22.624839400428268,3^3,27.0,0.16204298516932342,16.20429851693234,False,1.0,1.0
sum_rule,"S(down_quarks; p=2.0, q=-1.0, r=0.5)",1.1652060960708936,1/1,1.0,0.16520609607089365,16.520609607089366,True,1.0,1.0
sum_rule,"S(down_quarks; p=0.5, q=1.0, r=0.5)",1.1692686687239722,1/1,1.0,0.16926866872397217,16.926866872397216,True,1.0,1.0
ratio_mass,m_tau/m_u,822.6203703703704,10^3,1000.0,0.17737962962962955,17.737962962962957,False,1.0,1.0
ratio_mass,m_b/m_e,8180.055146878955,10^4,10000.0,0.18199448531210446,18.199448531210447,False,1.0,1.0
sum_rule,"S(all_mass_scales; p=1.0, q=-1.0, r=1.0)",0.2722436355823604,1/3,0.3333333333333333,0.18326909325291868,18.32690932529187,True,1.0,1.0
sum_rule,"S(charged_leptons; p=1.0, q=-0.5, r=0.5)",0.2716105993728293,1/3,0.3333333333333333,0.18516820188151212,18.51682018815121,True,1.0,1.0
ratio_mass,M_H/m_mu,1185.4284578545874,10^3,1000.0,0.18542845785458734,18.542845785458734,False,1.0,1.0
sum_rule,"S(down_quarks; p=0.5, q=0.0, r=2.0)",0.2687173737864322,1/3,0.3333333333333333,0.1938478786407034,19.38478786407034,True,1.0,1.0
ratio_mass,M_Z/m_tau,51.31951870152967,2^6,64.0,0.19813252028859896,19.813252028859896,False,1.0,1.0
ratio_mass,v/m_c,193.8740157480315,3^5,243.0,0.20216454424678396,20.216454424678396,False,1.0,1.0
sum_rule,"S(ew_scales; p=1.0, q=0.5, r=2.0)",0.2634902070333945,1/3,0.3333333333333333,0.2095293788998165,20.952937889981648,True,1.0,1.0
sum_rule,"S(charged_fermions; p=-0.5, q=0.5, r=2.0)",0.2624368363843109,1/3,0.3333333333333333,0.21268949084706718,21.26894908470672,True,1.0,1.0
sum_rule,"S(ew_scales; p=-1.0, q=-0.5, r=2.0)",0.2598922514755203,1/3,0.3333333333333333,0.22032324557343902,22.0323245573439,True,1.0,1.0
sum_rule,"S(all_quarks; p=1.0, q=-1.0, r=1.0)",0.2585819292356192,1/3,0.3333333333333333,0.2242542122931424,22.425421229314242,True,1.0,1.0
sum_rule,"S(charged_leptons; p=0.5, q=1.0, r=0.5)",1.2247502273179363,1/1,1.0,0.22475022731793626,22.475022731793626,True,1.0,1.0
sum_rule,"S(down_quarks; p=-0.5, q=-1.0, r=0.5)",1.226085220818118,1/1,1.0,0.2260852208181181,22.60852208181181,True,1.0,1.0
ratio_dimless,pmns_s12/ckm_s13,156.95838715913712,2^7,128.0,0.22623739968075873,22.623739968075874,False,1.0,1.0
sum_rule,"S(all_mass_scales; p=-0.5, q=2.0, r=0.5)",0.2568589592528974,1/3,0.3333333333333333,0.22942312224130768,22.942312224130767,True,1.0,1.0
ratio_mass,m_mu/m_u,48.91574074074074,2^6,64.0,0.23569155092592597,23.5691550925926,False,1.0,1.0
ratio_mass,m_b/m_mu,39.561604421813776,2^5,32.0,0.2363001381816805,23.63001381816805,False,1.0,1.0
