family,relation,value,target_label,target_value,relative_error,percent_error,global_p_value,note
koide_raw_all,"Q(m_tau, theta12_pmns_deg, M_Z)",0.45491845140843923,5/11,0.454545454545455,0.0008205930985653579,0.0820593098565358,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_c, alpha_s_MZ, M_W)",0.7506161926254417,3/4,0.75,0.0008215901672555445,0.08215901672555445,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_e, m_u, theta23_ckm_deg)",0.9174243282114865,11/12,0.916666666666667,0.0008265398670758047,0.08265398670758047,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_t, theta13_ckm_deg, alpha_em_MZ)",0.9223137254746512,12/13,0.923076923076923,0.0008267974024611565,0.08267974024611566,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_mu, theta13_ckm_deg, M_Z)",0.8564305244869679,6/7,0.857142857142857,0.0008310547652039536,0.08310547652039536,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_mu, m_b, sin2_thetaW)",0.5560178204325231,5/9,0.555555555555556,0.0008320767785407794,0.08320767785407794,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_d, theta23_ckm_deg, M_Z)",0.7506254124252633,3/4,0.75,0.0008338832336843479,0.0833883233684348,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_e, sin2_thetaW, M_H)",0.9174341113311651,11/12,0.916666666666667,0.0008372123612707467,0.08372123612707466,1.0,Raw prompt-unit triple scan.
sum_rules,"S[p=1, q=0.5, r=0.5](down_type_quarks)",2.752302638570252,11/4,2.75,0.0008373231164552857,0.08373231164552856,1.0,
koide_raw_all,"Q(m_e, m_tau, theta12_pmns_deg)",0.6917278978190217,9/13,0.692307692307692,0.0008374809280793129,0.08374809280793129,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_t, alpha_em_MZ, M_H)",0.49957804154413255,1/2,0.5,0.0008439169117349099,0.08439169117349099,1.0,Raw prompt-unit triple scan.
