galaxy,R_kpc,Vobs_kms,e_Vobs_kms,gobs_mps2,gbar_mps2,gpred_mps2,log10_gobs,log10_gbar,log10_gpred,delta_dex
DDO161,0.73,16.6,4.83,1.2233275904099853e-11,7.415551170106598e-12,3.369186022112366e-11,-10.912457229262484,-11.129856563955906,-10.472475009753046,-0.4399822195094387
DDO161,0.85,18.6,2.5,1.3190352976190266e-11,7.742658274516286e-12,3.451650050335369e-11,-10.879743582500598,-11.111109908083352,-10.461973242189861,-0.4177703403107369
DDO161,0.98,20.0,7.58,1.3227670569160675e-11,8.384653305932655e-12,3.6096807153645505e-11,-10.87851662958667,-11.076514890175748,-10.442531210750216,-0.43598541883645403
DDO161,1.07,21.4,4.03,1.3870535358821883e-11,8.76989252214239e-12,3.702279174097081e-11,-10.857906776208967,-11.057005729020107,-10.431530835934685,-0.4263759402742817
DDO161,1.54,28.9,2.74,1.7576177080109275e-11,1.0173210234775974e-11,4.027283392770138e-11,-10.755075580545506,-10.992541980484097,-10.39498780878694,-0.36008777175856643
DDO161,2.02,32.9,2.65,1.7365603518254828e-11,1.0615811092355809e-11,4.126233920812334e-11,-10.760310118768814,-10.974046818315948,-10.38444615502542,-0.37586396374339337
DDO161,2.49,35.2,2.88,1.6126325987121068e-11,1.037598157597054e-11,4.0728108164941576e-11,-10.792464565361612,-10.983970808074847,-10.390105762578091,-0.402358802783521
DDO161,2.96,37.6,3.05,1.5478662595421844e-11,9.63714095590142e-12,3.905257367427221e-11,-10.810266566425755,-11.016051788839865,-10.408350339617591,-0.4019162268081633
DDO161,3.43,40.6,3.68,1.5574259328129777e-11,8.751359765370245e-12,3.697860551286404e-11,-10.80759259811052,-11.057924462095816,-10.432049470393915,-0.3755431277166057
DDO161,3.9,42.7,3.25,1.5150975565771837e-11,8.053207318582195e-12,3.5286993765491244e-11,-10.819559402198589,-11.094031120458387,-10.452385339278768,-0.3671740629198208
DDO161,4.37,45.5,2.99,1.53529137848334e-11,7.371161393006305e-12,3.3578872750082833e-11,-10.813809188878336,-11.132464079734362,-10.473933887311608,-0.3398753015667282
DDO161,4.86,48.9,1.96,1.5945234248379137e-11,6.762768866392586e-12,3.200245161365576e-11,-10.79736909623719,-11.169875455361234,-10.494816750383256,-0.3025523458539343
DDO161,5.34,51.5,1.53,1.609617391466071e-11,6.255882300723216e-12,3.064588142251423e-11,-10.793277344168313,-11.20371143076459,-10.513627883157387,-0.27964946101092636
DDO161,5.81,53.0,1.86,1.5668414843458217e-11,5.798953683387735e-12,2.938505488089749e-11,-10.804974938410892,-11.23665035997561,-10.531873493840218,-0.2731014445706741
DDO161,6.28,55.0,1.48,1.5610441641033766e-11,5.456740567845897e-12,2.8414498237515624e-11,-10.806584809970847,-11.26306669357461,-10.546460008618096,-0.2601248013527506
DDO161,6.75,57.6,0.99,1.5929078363476943e-11,5.1688794873529385e-12,2.7578903355590728e-11,-10.79780935120674,-11.286603593308755,-10.559423007053734,-0.23838634415300497
DDO161,7.22,59.7,1.19,1.5997824179661726e-11,4.963878296849268e-12,2.6972270237254667e-11,-10.795939080533039,-11.304178874968379,-10.569082497743707,-0.22685658278933118
DDO161,7.69,60.5,1.26,1.5425308705056876e-11,4.833933745303136e-12,2.6582447441075176e-11,-10.811766135718631,-11.315699306399704,-10.575405036138912,-0.23636109957971918
DDO161,8.16,61.8,1.33,1.5168276830168503e-11,4.729811729893684e-12,2.6266989365792638e-11,-10.819063753798368,-11.32515614600544,-10.580589701738147,-0.2384740520602211
DDO161,8.64,62.9,1.35,1.4840106005266876e-11,4.568486242133699e-12,2.5772541609616865e-11,-10.828562996810494,-11.340227678615715,-10.588842750537069,-0.23972024627342492
DDO161,9.11,63.0,2.09,1.4119267837326769e-11,4.43860368704203e-12,2.53692264241643e-11,-10.850187823287973,-11.352753630422814,-10.5956927753813,-0.25449504790667277
DDO161,9.58,64.5,2.38,1.4073540750428937e-11,4.226413258867809e-12,2.4699691605727882e-11,-10.851596625030147,-11.374028039874569,-10.607308469200527,-0.24428815582962038
DDO161,10.05,65.6,1.08,1.38768556846003e-11,4.004715131488246e-12,2.3985100800672903e-11,-10.857708928227325,-11.397428371270832,-10.620058452012175,-0.23765047621514945
DDO161,10.52,67.5,3.22,1.4035932164953317e-11,3.685605666542481e-12,2.29268812905925e-11,-10.852758739377808,-11.43349113303608,-10.639655017681891,-0.21310372169591751
DDO161,10.99,66.8,2.37,1.3158448568271359e-11,3.370704755629134e-12,2.184420917498005e-11,-10.880795312694538,-11.472279286226144,-10.660663673415351,-0.22013163927918633
DDO161,11.46,66.8,0.95,1.2618791428036844e-11,3.059398726377802e-12,2.073097086321218e-11,-10.898982237902418,-11.51436391844486,-10.683380358752133,-0.2156018791502845
DDO161,11.94,66.6,0.96,1.2039087927209253e-11,2.776051675049069e-12,1.9674943391871877e-11,-10.919406413674887,-11.556572453930517,-10.70608650850552,-0.21331990516936727
DDO161,12.41,66.8,0.99,1.1652808200266096e-11,2.5220867343505574e-12,1.8688352920917034e-11,-10.933569401769777,-11.598239982155432,-10.728428973039463,-0.20514042873031357
DDO161,12.9,66.3,0.74,1.1042993112261785e-11,2.3091579940182098e-12,1.7827553784410658e-11,-10.956913198711842,-11.636546351369157,-10.748908244643825,-0.20800495406801645
DDO161,13.37,66.1,1.31,1.0590609782522973e-11,2.0984837308604776e-12,1.6941136256659315e-11,-10.975079033512841,-11.678094393440773,-10.771057464521954,-0.2040215689908873
DDO168,0.41,15.0,4.1,1.778476439329225e-11,1.1275327208174567e-11,4.2708915094683184e-11,-10.749951883830512,-10.947870846111403,-10.369481460518314,-0.3804704233121985
